Reach Name,Basin,Assessment Unit,Priority Actions,Reach Rank,Priority Species,Priority Life Stages,Unacceptable Limiting Factors,At-Risk Limiting Factors,Action Categories,Updated
Mill Creek Nason 01,Wenatchee,Upper Nason Creek,Address Limiting Factors,Not Ranked,Bull Trout,BT Natal Rearing,Temperature- Rearing,No At-Risk Limiting Factors,Water Quality Improvement,27.Jan.2076
Beaver Creek North Fork 01,Methow,Upper Beaver Creek,"Restore Reach Function, Address Limiting Factors",1,Bull Trout,"BT Natal Rearing,BT Subadult Rearing","Cover- Wood,Pool Quantity and Quality","Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration",27.Jan.2077
Beaver Creek North Fork 02,Methow,Upper Beaver Creek,Address Limiting Factors,2,Bull Trout,"BT Natal Rearing,BT Subadult Rearing",Cover- Wood,Pool Quantity and Quality,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2078
Entiat River Lake 09,Entiat,Entiat River-Lake Creek,Address Limiting Factors,1,Bull Trout,"BT Natal Rearing,Holding and Maturation",Cover- Wood,Pool Quantity and Quality,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2079
Entiat River Lake 07,Entiat,Entiat River-Lake Creek,Address Limiting Factors,3,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation",Cover- Wood,"Off-Channel- Side-Channels,Pool Quantity and Quality","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2080
Entiat River Lake 08,Entiat,Entiat River-Lake Creek,Address Limiting Factors,3,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation",Cover- Wood,"Off-Channel- Side-Channels,Pool Quantity and Quality","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management",27.Jan.2081
Entiat River Lake 02,Entiat,Entiat River-Lake Creek,"Restore Reach Function, Address Limiting Factors",1,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration","Bank Stability,Cover- Wood,Floodplain Connectivity,Riparian-Disturbance","Channel Stability,Stability,Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian-Canopy Cover,Riparian,Temperature- Adult Holding","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2082
Entiat River Lake 01,Entiat,Entiat River-Lake Creek,Address Limiting Factors,2,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration",Cover- Wood,"Off-Channel- Side-Channels,Flow- Summer Base Flow,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2083
Entiat River Lake 03,Entiat,Entiat River-Lake Creek,Address Limiting Factors,2,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration",No Unacceptable Limiting Factors,"Cover- Wood,Flow- Summer Base Flow,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2084
Entiat River Lake 04,Entiat,Entiat River-Lake Creek,"Restore Reach Function, Address Limiting Factors",2,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration","Cover- Wood,Pool Quantity and Quality","Flow- Summer Base Flow,Off-Channel- Side-Channels,Riparian-Canopy Cover,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2085
Entiat River Lake 05,Entiat,Entiat River-Lake Creek,Address Limiting Factors,2,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration",No Unacceptable Limiting Factors,"Cover- Wood,Flow- Summer Base Flow,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2086
Entiat River Lake 11,Entiat,Entiat River-Lake Creek,Address Limiting Factors,Not Ranked,"Spring Chinook, Bull Trout","Fry,Summer Rearing,BT Natal Rearing,Holding and Maturation,Adult Migration","Off-Channel- Side-Channels,Flow- Summer Base Flow",Cover- Wood,"Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management",27.Jan.2087
Entiat River Lake 06,Entiat,Entiat River-Lake Creek,Address Limiting Factors,3,"Spring Chinook, Bull Trout","Fry,Summer Rearing,Holding and Maturation,Adult Migration",No Unacceptable Limiting Factors,"Off-Channel- Side-Channels,Flow- Summer Base Flow,Pool Quantity and Quality,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2088
Entiat River Lake 10,Entiat,Entiat River-Lake Creek,Address Limiting Factors,1,"Spring Chinook, Bull Trout","Fry,Summer Rearing,Spawning and Incubation,BT Natal Rearing,Holding and Maturation",Cover- Wood,"Off-Channel- Side-Channels,Pool Quantity and Quality,PRCNT Fines and Embeddedness","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Riparian Restoration and Management, Upland Management",27.Jan.2089
Chiwaukum Creek 01,Wenatchee,Chiwaukum Creek,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,Temperature- Adult Holding,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management, Water Quality Improvement",27.Jan.2090
Chiwaukum Creek 02,Wenatchee,Chiwaukum Creek,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,Cover- Wood,"Flow- Summer Base Flow,Temperature- Adult Holding","Channel Complexity Restoration, Channel Modification, Instream Flow Enhancement, Riparian Restoration and Management, Upland Management, Water Quality Improvement",27.Jan.2091
Chiwaukum Creek 03,Wenatchee,Chiwaukum Creek,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,No Unacceptable Limiting Factors,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2092
Chiwaukum Creek 04,Wenatchee,Chiwaukum Creek,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,No Unacceptable Limiting Factors,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2093
Chiwaukum Creek 05,Wenatchee,Chiwaukum Creek,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,No Unacceptable Limiting Factors,Flow- Summer Base Flow,"Channel Modification, Instream Flow Enhancement, Upland Management",27.Jan.2094
Cougar Creek 01,Entiat,Upper Mad River,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,Pool Quantity and Quality,No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management",27.Jan.2095
Lake Wenatchee 01,Wenatchee,Lake Wenatchee,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,Temperature- Adult Holding,No At-Risk Limiting Factors,Water Quality Improvement,27.Jan.2096
Mad River Lower 09,Entiat,Lower Mad River,Address Limiting Factors,Not Ranked,Bull Trout,Holding and Maturation,No Unacceptable Limiting Factors,Temperature- Adult Holding,Water Quality Improvement,27.Jan.2097
Aeneas 16-1,Okanogan,Aeneas Creek-DS,"Restore Reach Function, Restore Fish Passage",1,Steelhead,No Priority Life Stages,"Bank Stability,Channel Stability,Stability,Cover- Wood,Flow- Summer Base Flow,Riparian-Canopy Cover,Riparian,Temperature- Rearing",Coarse Substrate,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2098
Aeneas 16-2,Okanogan,Aeneas Creek-DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian,Temperature- Rearing",No At-Risk Limiting Factors,"Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2099
Big Meadow Creek 01,Wenatchee,Big Meadow Creek,"Restore Reach Function, Restore Fish Passage",1,"Spring Chinook, Steelhead, Bull Trout",No Priority Life Stages,"Cover- Wood,Riparian-Disturbance,Riparian","Channel Stability,Flow- Summer Base Flow,Floodplain Connectivity","Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2100
Big Meadow Creek 02,Wenatchee,Big Meadow Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Riparian-Disturbance,Riparian","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2101
Bonaparte 16-1,Okanogan,Bonaparte Creek-Lower DS,Restore Reach Function,1,Steelhead,No Priority Life Stages,"Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2102
Boulder Creek 01,Methow,Boulder Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood,Flow- Summer Base Flow,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance","Bank Stability,Stability,Pool Quantity and Quality,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2103
Chewuch River Doe 02,Methow,Chewuch River-Doe Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2104
Chewuch River Doe 03,Methow,Chewuch River-Doe Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Temperature- Rearing","Coarse Substrate,Flow- Summer Base Flow,Floodplain Connectivity,Riparian-Canopy Cover","Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2105
Chewuch River Doe 09,Methow,Chewuch River-Doe Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood,Off-Channel- Side-Channels,Riparian-Canopy Cover","Bank Stability,Stability,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2106
Chewuch River Thirtymile 02,Methow,Chewuch River-Thirtymile Creek,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,Channel Stability,"Bank Stability,Stability,Coarse Substrate,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2107
Chiwawa River Middle 01,Wenatchee,Middle Chiwawa River,Restore Reach Function,1,"Spring Chinook, Steelhead, Bull Trout",No Priority Life Stages,"Cover- Wood,Floodplain Connectivity,Off-Channel- Side-Channels,Riparian-Disturbance,Riparian,Temperature- Rearing",No At-Risk Limiting Factors,"Bank Restoration, Channel Complexity Restoration, Channel Modification, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Water Quality Improvement",27.Jan.2108
Johnson 16-3,Okanogan,Johnson Creek,Restore Fish Passage,1,Steelhead,No Priority Life Stages,No Unacceptable Limiting Factors,No At-Risk Limiting Factors,,27.Jan.2109
Lake Creek Methow 01,Methow,Lake Creek (Methow),Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Channel Stability,Cover- Wood,Off-Channel- Side-Channels","Bank Stability,Stability,Flow- Summer Base Flow,Floodplain Connectivity,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management",27.Jan.2110
Methow River Alta Coulee 03,Methow,Methow River-Alta Coulee,Restore Reach Function,1,"Spring Chinook, Steelhead",No Priority Life Stages,"Cover- Wood,Flow- Summer Base Flow,Pool Quantity and Quality,Riparian-Disturbance,Riparian-Canopy Cover,Riparian,Temperature- Rearing","Bank Stability,Channel Stability,Stability,Coarse Substrate,Floodplain Connectivity,Off-Channel- Side-Channels","Bank Restoration, Channel Complexity Restoration, Channel Modification, Fine Sediment Management, Floodplain Reconnection, Instream Flow Enhancement, Riparian Restoration and Management, Side Channel and Off-Channel Habitat Restoration, Upland Management, Water Quality Improvement",27.Jan.2111
